Country,Country_Code,Crop,Crop_Code,Year,Unit,Yield,Crop_Category,Fertilizer_Nutrient nitrogen N (total),Fertilizer_Nutrient phosphate P2O5 (total),Fertilizer_Nutrient potash K2O (total),Pesticide_Total_Tonnes,ISO3,Agricultural Land (%),GDP (USD),Rainfall (mm),Temperature (C),Region
Afghanistan,2,Apricots,526,2020,kg/ha,7538.9,Fruits,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Apricots,526,2021,kg/ha,7661.5,Fruits,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Apricots,526,2022,kg/ha,6378.7,Fruits,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Apricots,526,2023,kg/ha,7062.4,Fruits,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2015,kg/ha,1429.1,Cereals,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2016,kg/ha,1377.0,Cereals,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2017,kg/ha,1393.3,Cereals,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2018,kg/ha,674.8,Cereals,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2019,kg/ha,1469.9,Cereals,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2020,kg/ha,1483.8,Cereals,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2021,kg/ha,1616.5,Cereals,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2022,kg/ha,1528.4,Cereals,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Barley,44,2023,kg/ha,1375.0,Cereals,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2015,kg/ha,8814.3,Fruits,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2016,kg/ha,6332.2,Fruits,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2017,kg/ha,9063.1,Fruits,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2018,kg/ha,10879.7,Fruits,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2019,kg/ha,12500.8,Fruits,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2020,kg/ha,13462.3,Fruits,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2021,kg/ha,12843.6,Fruits,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2022,kg/ha,10754.8,Fruits,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Cantaloupes and other melons,568,2023,kg/ha,10798.9,Fruits,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2015,kg/ha,3276.1,Fruits,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2016,kg/ha,3875.5,Fruits,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2017,kg/ha,4888.4,Fruits,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2018,kg/ha,5779.0,Fruits,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2019,kg/ha,6891.2,Fruits,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2020,kg/ha,4968.6,Fruits,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2021,kg/ha,5929.9,Fruits,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2022,kg/ha,5929.9,Fruits,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Figs,569,2023,kg/ha,5929.9,Fruits,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2015,kg/ha,10232.1,Fruits,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2016,kg/ha,10606.9,Fruits,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2017,kg/ha,10595.1,Fruits,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2018,kg/ha,11244.5,Fruits,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2019,kg/ha,12422.0,Fruits,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2020,kg/ha,10729.5,Fruits,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2021,kg/ha,10727.9,Fruits,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2022,kg/ha,9825.0,Fruits,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2023,kg/ha,11677.4,Fruits,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2015,No/An,42.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2015,g/An,2124.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2016,No/An,42.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2016,g/An,2124.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2017,No/An,37.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2017,g/An,1871.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2018,No/An,42.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2018,g/An,2119.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2019,No/An,42.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2019,g/An,2116.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
